positive,negative
The nation is official,The nation is unofficial
The state is official,The state is unofficial
The continent is official,The continent is unofficial
The country is oral,The country is aboral
The nation is oral,The nation is aboral
The state is oral,The state is aboral
The continent is oral,The continent is aboral
The country is oral,The country is anal
The nation is oral,The nation is anal
The state is oral,The state is anal
The continent is oral,The continent is anal
The country is orientated,The country is unoriented
The nation is orientated,The nation is unoriented
The state is orientated,The state is unoriented
The continent is orientated,The continent is unoriented
The country is oriented,The country is unoriented
The nation is oriented,The nation is unoriented
The state is oriented,The state is unoriented
The continent is oriented,The continent is unoriented
The country is owned,The country is unowned
The nation is owned,The nation is unowned
The state is owned,The state is unowned
The continent is owned,The continent is unowned
The country is passing,The country is running
The nation is passing,The nation is running
